reg_no,name,email,phone,branch,course,DOB
23BAI3604,Nikhil Joshi,nikhil.joshi724@gmail.com,9656804649,AI & ML,BTech,2005-09-13
22BRS4655,D. Singh,diya.singh460@outlook.com,9695159175,Artificial Intelligence and Robotics,Bachelor of Technology,2004-07-01
21BRS6271,Aisha Sharma,aisha.sharma751@gmail.com,+91-99005-04105,AI & Robotics,B.Tech,2004-07-01
24EEE3477,Arjun Mishra,arjun.mishra333@outlook.com,9596380370,Electrical,BTech,2007-10-29
23BCE3155,Kavya Reddy,kavya.reddy888@gmail.com,,CSE,Bachelor of Technology,2004-12-05
23BMH9766,rahul gupta,rahul.gupta625@gmail.com,9932469270,Mechanical Engineering,Bachelor of Technology,2006-07-07
25BRS2092,Tanvi Nair,tanvi.nair157@yahoo.com,9674336856,AI & Robotics,Bachelor of Technology,2006-05-19
25BAI2813,SnehaM ishra,sneha.mishra305@yahoo.com,9271461585,AI/ML,BTech,2006-04-10
23BRS2240,AdityaNair,aditya.nair649@yahoo.com,9428838544,AI & Robotics,BTech,2005-09-10
24BEC1361,Aarav Singh,,9038120816,Electronics and Communication,B.Tech,2007-01-29
23BCE2081,Priya Nair,priya.nair474@gmail.com,9013737225,CSE,Bachelor of Technology,29/08/2004
24BMH4578,Kavya Bose,kavya.bose824@outlook.com,9443550796,MECH,B.Tech,2007-08-10
23BAI2574,Aditya Singh,aditya.singh811@yahoo.com,9786935519,Artificial Intelligence & Machine Learning,Bachelor of Technology,2005-08-03
24BCE2907,Vivek Menon,vivek.menon520@outlook.com,9856277366,Computer Science,BTech,2007-05-15
22EEE8433,Neha Verma,neha.verma554@yahoo.com,+91-99106-14060,Electrical and Electronics,BTech,2003-05-28
21BMH3915,Anjlai Patel,anjali.patel714@yahoo.com,9226098479,Mechanical,Bachelor of Technology,
23EEE9689,Priya K Kumar,priya.kumar659@outlook.com,9942562371,Electrical and Electronics,BTech,2004-09-10
25BRS9773,Riya Singh,riya.singh446@gmail.com,09638943390,Artificial Intelligence and Robotics,Bachelor of Technology,2006-12-03
23BEC1939,Ishita Bose,ishita.bose562@yahoo.com,9313477250,Electronics,B.Tech,2006-06-21
26BCE3488,Kavya Patel,,9562073256,Computer Science,Bachelor of Technology,2007-06-02
23BCE7601,Kavya Gupta,kavya.gupta165@outlook.com,+91-90189-29082,CSE,Bachelor of Technology,
24EEE4506,Aditya Patel,aditya.patel360@outlook.com,9560613063,Electrical and Electronics,Bachelor of Technology,2007-03-22
23BCE7394,SnehaI yer,,9416266591,CSE,B.Tech,2006-02-08
24EEE1627,Akash Reddy,akash.reddy347@outlook.com,9694054836,Electrical and Electronics,Bachelor of Technology,2005-05-20
21BEC7935,Arjun Sharma,arjun.sharma154@outlook.com,+91 9144151719,Electronics and Communication,Bachelor of Technology,2004-06-01
21BMH6886,Tanvi Kumar,tanvi.kumar453@outlook.com,9346226044,Mechanical,BTech,2003-10-07
21BMH4123,R. Mehta,rohan.mehta414@yahoo.com,,Mechanical Engineering,B.Tech,2003-01-23
24BMH5428,Akash Rao,akashrao663@outlook.com,9003656752,Mechanical,BTech,2007-09-15
24BCE8231,varun iyer,varun.iyer539@yahoo.com,9438110342,CSE,B.Tech,2005-07-16
25EEE8874,Tanvi Rao,tanvi.rao239@gmail.com,9907616802,Electrical and Electronics,Bachelor of Technology,2007-01-30
23BAI1281,NikhilSharma,nikhil.sharma621@outlook.com,,Artificial Intelligence and Machine Learning,Bachelor of Technology,2006-06-12
26BEC8043,Anjali Das,anjali.das928@gmail.com,9832243332,Electronics and Communication,BTech,2008-08-04
21EEE9033,Priya Desai,priya.desai676@gmail.com,9319432329,Electrical,B.Tech,2003-07-10
23EEE4208,Diya Desai,diya.desai574@outlook.com,9616575014,Electrical and Electronics Engineering,B.Tech,09-01-2005
23BMH3471,N. Menon,nikhil.menon563@outlook.com,9574125501,MECH,B.Tech,2006-10-15
25BCE9751,ishita gupta,ishita.gupta965@yahoo.com,,Computer Science and Engineering,BTech,18/10/2008
23BCE9535,aarav iyer,aarav.iyer881@gmail.com,2810471637,CSE,BTech,2006-01-19
24BEC5659,Kavya Agarwal,kavya.agarwal866@gmail.com,9328520000,Electronics and Communication,BTech,2007-06-13
23BMH7539,NehaR ao,neha.rao270@outlook.com,9362764732,Mechanical,Bachelor of Technology,2006-05-15
24EEE2140,Kavya Rao,kavya.rao179@yahoo.com,,Electrical,Bachelor of Technology,2006-05-04
23BCE4096,Aditya Kapoor,,+91 9168097358,Computer Science and Engineering,Bachelor of Technology,2006-06-07
23BAI3357,NehaBose,neha.bose549@gmail.com,+91-97566-69653,Artificial Intelligence and Machine Learning,BTech,2005-02-04
22BMH2200,Varun Sharma,varun.sharma235@outlook.com,9883529983,Mechanical Engineering,Bachelor of Technology,2004-05-09
21BMH9858,Riya Joshi,riya.joshi729@yahoo.com,9961530665,Mechanical Engineering,B.Tech,2003-12-08
23EEE1849,Priya Patel,priya.patel598@gmail.com,9752353105,Electrical and Electronics Engineering,B.Tech,2006-04-20
25BMH4722,Ishita Kapoor,ishita.kapoor515@gmail.com,9258981405,Mechanical Engineering,BTech,
25BRS3692,Rahul Reddy,rahul.reddy267@yahoo.com,09246898779,AI/R,Bachelor of Technology,
25BEC7308,Arjun K Rao,arjun.rao357@gmail.com,+91 9949422221,Electronics and Communication Engineering,Bachelor of Technology,2007-11-09
23BMH3227,Arjun Reddy,arjun.reddy481@gmail.com,09518302779,Mechanical Engineering,BTech,2005-08-07
26BAI4361,aisha agarwal,aisha.agarwal945@gmail.com,9131333994,AI & ML,B.Tech,2007-11-05
26EEE7457,rahul rao,rahul.rao513@outlook.com,9901364230,Electrical,BTech,2009-03-03
22BMH3206,TanviDas,tanvi.das208@outlook.com,9863690571,Mechanical,B.Tech,2003-05-21
22BEC4936,aditya rao,aditya.rao196@gmail.com,+91 9262128026,Electronics and Communication Engineering,B.Tech,07-02-2005
24BAI3074,ShreyaGupta,shreya.gupta568@outlook.com,+91-90424-05011,AI/ML,B.Tech,2006-03-15
21BCE4543,Sherya Pillai,shreya.pillai820@yahoo.com,9317075742,CSE,Bachelor of Technology,01-11-2004
23BCE6270,Sneha Nair,sneha.nair162@yahoo.com,,Computer Science and Engineering,Bachelor of Technology,22/09/2004
22BEC7911,Aarav Sharma,aaravsharma654@outlook.com,9887930209,Electronics and Communication,B.Tech,2005-10-27
