reg_no,name,email,phone_number,branch,course,dob
22BCE101,A. Sharma,aarav.sharma@hostel.vit.ac.in,9876543210,Comp Sci,B.Tech,2004-05-12
,Ishita P.,ishita.patel@gmail.com,9876543211,,,2004-08-22
22BME201,R. Gupta,rohan.g@vit.ac.in,9999999999,Mechanical,B.Tech,2003-11-05
22BME202,Sneha I,sneha.i@vit.ac.in,9876543213,Mechanical,BTech,2004-01-30
22BEE301,Varun Desai,varun.desai@gmail.com,8876543214,Electrical,BTech,2003-09-14
22BEE302,Kavya Reddy,kavya.r@vit.ac.in,9876543215,Electrical,B.Tech,2004-12-01
22BCE103,Adity Menon,aditya.m@vit.ac.in,9876543216,CSE,B.Tech,2004-03-18
22BCE104,Priya Das,priya.das@yahoo.com,9876543217,CSE,B.Tech,2003-07-25
22BME203,Nikhil Sharma,nikhil.sharma@gmail.com,9876543218,Mech,B.Tech,2004-10-10
22BEE303,Meera J.,meera.j@vit.ac.in,0000000000,EEE,B.Tech,2003-02-28
